      r(lam/D)    r(arcsec)       I            contrast       core_thruput      PSF_peak     area(sq_arcsec)    occ_trans
      2.70000     0.128699   6.3137808e-11   8.0972734e-08    0.0057534806   0.00077974159    0.0020332676    0.0042041007
      3.00000     0.142999   3.8938469e-11   2.8377042e-08     0.010177500    0.0013721821    0.0020481634      0.26489565
      3.30000     0.157299   1.8504184e-11   8.8434784e-09     0.015567096    0.0020924101    0.0020556112      0.23484169
      3.60000     0.171598   1.2145899e-11   4.8850718e-09     0.018421678    0.0024863297    0.0020556112      0.23055136
      3.90000     0.185898   1.5303482e-11   5.7919834e-09     0.019613995    0.0026421834    0.0020556112      0.23373368
      4.20000     0.200198   1.8627608e-11   6.6918914e-09     0.020714155    0.0027836088    0.0020630591      0.23469693
      4.50000     0.214498   1.7116362e-11   5.8806877e-09     0.021722157    0.0029106055    0.0020779548      0.23323099
      4.80000     0.228798   1.2303325e-11   4.0649933e-09     0.022431438    0.0030266532    0.0020556112      0.23128236
      5.10000     0.243098   8.7552157e-12   2.8401734e-09     0.022807502    0.0030826342    0.0020481634      0.23103845
      5.40000     0.257398   8.6654877e-12   2.8147967e-09     0.022850350    0.0030785483    0.0020556112      0.23285936
      5.70000     0.271698   9.6993988e-12   3.1462964e-09     0.022880924    0.0030827988    0.0020556112      0.23450229
      6.00000     0.285997   1.0392509e-11   3.3823345e-09     0.022792243    0.0030725845    0.0020556112      0.23428544
      6.30000     0.300297   1.0346560e-11   3.3721577e-09     0.022734498    0.0030682315    0.0020528183      0.23311818
      6.60000     0.314597   1.0204518e-11   3.3315823e-09     0.022657623    0.0030629644    0.0020481634      0.23314329
      6.90000     0.328897   9.1456324e-12   2.9919140e-09     0.022561621    0.0030567832    0.0020416465      0.23396890
      7.20000     0.343197   8.6193786e-12   2.8263150e-09     0.022446490    0.0030496879    0.0020332676      0.23446711
      7.50000     0.357497   8.1176547e-12   2.6657891e-09     0.022441623    0.0030451227    0.0020369916      0.23391036
      7.80000     0.371797   7.9624709e-12   2.6183544e-09     0.022469386    0.0030410210    0.0020444394      0.23296341
      8.10000     0.386097   7.7019405e-12   2.5357158e-09     0.022529777    0.0030373831    0.0020556112      0.23301899
      8.40000     0.400396   7.3739936e-12   2.4281980e-09     0.021943265    0.0030368173    0.0019885794      0.23387307
      8.70000     0.414696   8.0369499e-12   2.6375621e-09     0.015616426    0.0030471131    0.0013853015      0.23462333
      9.00000     0.428996   4.5035309e-12   1.7340455e-09    0.0087064133    0.0025971239   0.00093843119      0.23397018
      9.30000     0.443296   1.1907043e-14   2.1195140e-11    0.0037575633   0.00056178177   0.00073733879      0.23320837
