     r(lam/D)     r(arcsec)        I           contrast       core_thruput      PSF_peak      area(sq_arcsec)  occ_trans
      2.10000     0.100521   1.1260214e-11   3.6795366e-08    0.0023136832   0.00030602261    0.0020109240   0.00022720952
      2.40000     0.114882   1.1424203e-11   1.3608321e-08    0.0061296510   0.00083950126    0.0020332676   0.00020327697
      2.70000     0.129242   1.2754276e-11   6.7898644e-09     0.014123745    0.0018784287    0.0020779548      0.13148636
      3.00000     0.143602   1.1689422e-11   3.8758899e-09     0.022367177    0.0030159324    0.0020705070      0.39442343
      3.30000     0.157962   6.6227517e-12   1.5575568e-09     0.030859951    0.0042520129    0.0020109240      0.39442343
      3.60000     0.172322   4.1843717e-12   8.8050720e-10     0.034437545    0.0047522289    0.0020109240      0.39442343
      3.90000     0.186683   5.0000955e-12   1.0082761e-09     0.035950108    0.0049590537    0.0020109240      0.39442343
      4.20000     0.201043   7.3294833e-12   1.4089327e-09     0.037802766    0.0052021530    0.0020183719      0.39442343
      4.50000     0.215403   7.7663700e-12   1.4168263e-09     0.039995513    0.0054815260    0.0020332676      0.39442343
      4.80000     0.229763   5.0100876e-12   8.8781226e-10     0.041189843    0.0056431837    0.0020332676      0.39442343
      5.10000     0.244124   3.4794297e-12   6.1007711e-10     0.041744824    0.0057032621    0.0020407155      0.39442343
      5.40000     0.258484   4.5271587e-12   7.9960251e-10     0.041660457    0.0056617615    0.0020556112      0.39442343
      5.70000     0.272844   6.0831640e-12   1.0773282e-09     0.041589324    0.0056465279    0.0020584042      0.39442343
      6.00000     0.287204   6.1726665e-12   1.0993279e-09     0.041313897    0.0056149460    0.0020556112      0.39442343
      6.30000     0.301564   4.2887070e-12   7.6653338e-10     0.041128624    0.0055949384    0.0020528183      0.39442343
      6.60000     0.315925   3.3833600e-12   6.0664159e-10     0.040935356    0.0055771975    0.0020481634      0.39442343
      6.90000     0.330285   3.6098023e-12   6.4904384e-10     0.040734094    0.0055617235    0.0020416465      0.39442343
      7.20000     0.344645   4.2933991e-12   7.7379230e-10     0.040524837    0.0055485163    0.0020332676      0.39442343
      7.50000     0.359005   3.8968067e-12   7.0409646e-10     0.040402474    0.0055344785    0.0020316717      0.39442343
      7.80000     0.373365   2.9685214e-12   5.3763258e-10     0.040310073    0.0055214687    0.0020316717      0.39442343
      8.10000     0.387726   2.6391691e-12   4.7902268e-10     0.040247632    0.0055094866    0.0020332676      0.39442343
      8.40000     0.402086   2.8647998e-12   5.2040966e-10     0.040215585    0.0055048936    0.0020332676      0.39442343
      8.70000     0.416446   3.1732942e-12   5.7648994e-10     0.040213716    0.0055045091    0.0020332676      0.39442343
      9.00000     0.430806   2.9255133e-12   5.3110680e-10     0.040242024    0.0055083334    0.0020332676      0.39442343
      9.30000     0.445166   2.8235018e-12   5.1266489e-10     0.039948650    0.0055074998    0.0020134066      0.39442343
      9.60000     0.459527   2.9995422e-12   5.4473331e-10     0.039509522    0.0055064417    0.0019836151      0.39442343
      9.90000     0.473887   3.4175638e-12   6.2079296e-10     0.038924617    0.0055051588    0.0019438917      0.39442343
      10.2000     0.488247   4.8991527e-12   8.7854720e-10     0.027370149    0.0055764251    0.0013406144      0.39442343
      10.5000     0.502607   3.0347225e-12   6.5642150e-10     0.015446623    0.0046231308   0.00093843119      0.39442343
