     r(lam/D)     r(arcsec)        I          contrast         core_thruput     PSF_peak      area(sq_arcsec)    occ_trans
      2.10000     0.100521   1.4300143e-11   4.6729040e-08    0.0023136832   0.00030602261    0.0020109240   0.00022720952
      2.40000     0.114882   1.6991263e-11   2.0239711e-08    0.0061296510   0.00083950126    0.0020332676   0.00020327697
      2.70000     0.129242   1.7948344e-11   9.5549778e-09     0.014123745    0.0018784287    0.0020779548      0.13148636
      3.00000     0.143602   1.4454592e-11   4.7927441e-09     0.022367177    0.0030159324    0.0020705070      0.39442343
      3.30000     0.157962   7.8417304e-12   1.8442396e-09     0.030859951    0.0042520129    0.0020109240      0.39442343
      3.60000     0.172322   5.3797896e-12   1.1320561e-09     0.034437545    0.0047522289    0.0020109240      0.39442343
      3.90000     0.186683   6.8916608e-12   1.3897129e-09     0.035950108    0.0049590537    0.0020109240      0.39442343
      4.20000     0.201043   9.3968849e-12   1.8063454e-09     0.037802766    0.0052021530    0.0020183719      0.39442343
      4.50000     0.215403   9.2335022e-12   1.6844766e-09     0.039995513    0.0054815260    0.0020332676      0.39442343
      4.80000     0.229763   5.8420888e-12   1.0352470e-09     0.041189843    0.0056431837    0.0020332676      0.39442343
      5.10000     0.244124   4.2335000e-12   7.4229448e-10     0.041744824    0.0057032621    0.0020407155      0.39442343
      5.40000     0.258484   5.6391654e-12   9.9600901e-10     0.041660457    0.0056617615    0.0020556112      0.39442343
      5.70000     0.272844   7.3065464e-12   1.2939893e-09     0.041589324    0.0056465279    0.0020584042      0.39442343
      6.00000     0.287204   7.1986582e-12   1.2820530e-09     0.041313897    0.0056149460    0.0020556112      0.39442343
      6.30000     0.301564   5.2091787e-12   9.3105203e-10     0.041128624    0.0055949384    0.0020528183      0.39442343
      6.60000     0.315925   4.5174630e-12   8.0998799e-10     0.040935356    0.0055771975    0.0020481634      0.39442343
      6.90000     0.330285   4.8608241e-12   8.7397803e-10     0.040734094    0.0055617235    0.0020416465      0.39442343
      7.20000     0.344645   5.4010142e-12   9.7341594e-10     0.040524837    0.0055485163    0.0020332676      0.39442343
      7.50000     0.359005   4.5826186e-12   8.2801272e-10     0.040402474    0.0055344785    0.0020316717      0.39442343
      7.80000     0.373365   3.5881556e-12   6.4985529e-10     0.040310073    0.0055214687    0.0020316717      0.39442343
      8.10000     0.387726   3.5094580e-12   6.3698457e-10     0.040247632    0.0055094866    0.0020332676      0.39442343
      8.40000     0.402086   3.8067841e-12   6.9152728e-10     0.040215585    0.0055048936    0.0020332676      0.39442343
      8.70000     0.416446   3.8637823e-12   7.0193040e-10     0.040213716    0.0055045091    0.0020332676      0.39442343
      9.00000     0.430806   3.3969337e-12   6.1668992e-10     0.040242024    0.0055083334    0.0020332676      0.39442343
      9.30000     0.445166   3.4022144e-12   6.1774209e-10     0.039948650    0.0055074998    0.0020134066      0.39442343
      9.60000     0.459527   3.7838278e-12   6.8716387e-10     0.039509522    0.0055064417    0.0019836151      0.39442343
      9.90000     0.473887   4.1797651e-12   7.5924515e-10     0.038924617    0.0055051588    0.0019438917      0.39442343
      10.2000     0.488247   5.4250433e-12   9.7285324e-10     0.027370149    0.0055764251    0.0013406144      0.39442343
      10.5000     0.502607   3.1765375e-12   6.8709660e-10     0.015446623    0.0046231308   0.00093843119      0.39442343
