     r(lam/D)     r(arcsec)        I          contrast         core_thruput     PSF_peak      area(sq_arcsec)    occ_trans
      2.10000     0.100521   5.7666030e-12   3.7687431e-08    0.0011568416   0.00015301130    0.0020109240   0.00011360476
      2.40000     0.114882   6.1622548e-12   1.4680752e-08    0.0030648255   0.00041975063    0.0020332676   0.00010163849
      2.70000     0.129242   4.8616140e-12   5.1762561e-09    0.0070618726   0.00093921434    0.0020779548     0.065743180
      3.00000     0.143602   3.0381229e-12   2.0147156e-09     0.011183589    0.0015079662    0.0020705070      0.19721172
      3.30000     0.157962   2.0904317e-12   9.8326687e-10     0.015429976    0.0021260064    0.0020109240      0.19721172
      3.60000     0.172322   2.1494476e-12   9.0460610e-10     0.017218773    0.0023761144    0.0020109240      0.19721172
      3.90000     0.186683   2.3551682e-12   9.4984582e-10     0.017975054    0.0024795269    0.0020109240      0.19721172
      4.20000     0.201043   2.1937399e-12   8.4339692e-10     0.018901383    0.0026010765    0.0020183719      0.19721172
      4.50000     0.215403   1.6637222e-12   6.0702886e-10     0.019997757    0.0027407630    0.0020332676      0.19721172
      4.80000     0.229763   1.3437899e-12   4.7625242e-10     0.020594922    0.0028215918    0.0020332676      0.19721172
      5.10000     0.244124   1.4672144e-12   5.1451761e-10     0.020872412    0.0028516311    0.0020407155      0.19721172
      5.40000     0.258484   1.6897928e-12   5.9691416e-10     0.020830229    0.0028308807    0.0020556112      0.19721172
      5.70000     0.272844   1.6435271e-12   5.8213724e-10     0.020794662    0.0028232640    0.0020584042      0.19721172
      6.00000     0.287204   1.4073136e-12   5.0127413e-10     0.020656948    0.0028074730    0.0020556112      0.19721172
      6.30000     0.301564   1.3491305e-12   4.8226823e-10     0.020564312    0.0027974692    0.0020528183      0.19721172
      6.60000     0.315925   1.5593702e-12   5.5919489e-10     0.020467678    0.0027885988    0.0020481634      0.19721172
      6.90000     0.330285   1.6226289e-12   5.8349858e-10     0.020367047    0.0027808617    0.0020416465      0.19721172
      7.20000     0.344645   1.4296501e-12   5.1532700e-10     0.020262419    0.0027742581    0.0020332676      0.19721172
      7.50000     0.359005   1.0361804e-12   3.7444553e-10     0.020201237    0.0027672393    0.0020316717      0.19721172
      7.80000     0.373365   9.7234590e-13   3.5220553e-10     0.020155036    0.0027607343    0.0020316717      0.19721172
      8.10000     0.387726   1.1750734e-12   4.2656365e-10     0.020123816    0.0027547433    0.0020332676      0.19721172
      8.40000     0.402086   1.2801848e-12   4.6510790e-10     0.020107793    0.0027524468    0.0020332676      0.19721172
      8.70000     0.416446   1.1203114e-12   4.0705223e-10     0.020106858    0.0027522546    0.0020332676      0.19721172
      9.00000     0.430806   9.2909356e-13   3.3734108e-10     0.020121012    0.0027541667    0.0020332676      0.19721172
      9.30000     0.445166   1.0189711e-12   3.7003035e-10     0.019974325    0.0027537499    0.0020134066      0.19721172
      9.60000     0.459527   1.2581101e-12   4.5695939e-10     0.019754761    0.0027532209    0.0019836151      0.19721172
      9.90000     0.473887   1.4260620e-12   5.1808205e-10     0.019462308    0.0027525794    0.0019438917      0.19721172
      10.2000     0.488247   1.7781504e-12   6.3773847e-10     0.013685074    0.0027882126    0.0013406144      0.19721172
      10.5000     0.502607   1.0907307e-12   4.7185801e-10    0.0077233117    0.0023115654   0.00093843119      0.19721172
