     r(lam/D)     r(arcsec)       I            contrast       core_thruput      PSF_peak      area(sq_arcsec)   occ_trans
     0.750000    0.0359005   3.0405487e-09   4.6930721e-06    0.0057782534   0.00064788025    0.0016699513     0.026037664
      1.00000    0.0478674   3.9946639e-09   2.2904889e-06     0.015593989    0.0017440224    0.0016981825     0.070090529
      1.25000    0.0598342   3.7549415e-09   1.1105151e-06     0.030250351    0.0033812612    0.0017124059      0.13588953
      1.50000    0.0718010   2.7264458e-09   5.6534531e-07     0.044915100    0.0048226204    0.0017533520      0.19381633
      1.75000    0.0837679   1.3271514e-09   2.3672151e-07     0.053774890    0.0056063829    0.0017921430      0.22531496
      2.00000    0.0957347   6.9473583e-10   1.1543707e-07     0.057481971    0.0060183077    0.0017964530      0.24186981
      2.25000     0.107702   8.4497938e-10   1.3318959e-07     0.059020710    0.0063441849    0.0017766265      0.25496649
      2.50000     0.119668   1.1651816e-09   1.7311843e-07     0.061689828    0.0067305463    0.0017671443      0.27049397
      2.75000     0.131635   1.0790472e-09   1.5460560e-07     0.064352805    0.0069793538    0.0017703768      0.28049330
      3.00000     0.143602   6.2587139e-10   8.7906183e-08     0.067063761    0.0071197653    0.0017843847      0.28613630
      3.25000     0.155569   2.9115406e-10   4.0404023e-08     0.067480631    0.0072060661    0.0017771114      0.28960464
      3.50000     0.167536   3.4238277e-10   4.7448358e-08     0.066567795    0.0072159034    0.0017617567      0.28999999
      3.75000     0.179503   5.6374154e-10   7.8274709e-08     0.065557609    0.0072020905    0.0017484223      0.28999999
      4.00000     0.191469   6.5250274e-10   9.0701375e-08     0.065134713    0.0071939674    0.0017427204      0.28999999
      4.25000     0.203436   4.8874239e-10   6.8183338e-08     0.064751395    0.0071680619    0.0017401613      0.28999999
      4.50000     0.215403   2.6088766e-10   3.6619030e-08     0.064407655    0.0071243740    0.0017407449      0.28999999
      4.75000     0.227370   1.9723192e-10   2.7925048e-08     0.064103493    0.0070629037    0.0017444714      0.28999999
      5.00000     0.239337   2.3088958e-10   3.3061443e-08     0.063838908    0.0069836510    0.0017513406      0.28999999
      5.25000     0.251304   2.6368645e-10   3.8289699e-08     0.063613901    0.0068866159    0.0017613526      0.28999999
      5.50000     0.263270   2.2684481e-10   3.3370537e-08     0.063354263    0.0067977571    0.0017708222      0.28999999
      5.75000     0.275237   1.7046243e-10   2.5283627e-08     0.062988717    0.0067420084    0.0017762099      0.28999999
      6.00000     0.287204   1.1830222e-10   1.7695197e-08     0.062613928    0.0066855553    0.0017823159      0.28999999
      6.25000     0.299171   9.5902088e-11   1.4468366e-08     0.062229896    0.0066283979    0.0017891402      0.28999999
      6.50000     0.311138   8.9485014e-11   1.3619134e-08     0.061836620    0.0065705361    0.0017966829      0.28999999
      6.75000     0.323105   8.8182715e-11   1.3544421e-08     0.061276757    0.0065106300    0.0017983133      0.28999999
      7.00000     0.335072   7.8363158e-11   1.2152220e-08     0.060525053    0.0064484646    0.0017929671      0.28999999
      7.25000     0.347038   7.2624137e-11   1.1374594e-08     0.059666979    0.0063847675    0.0017842462      0.28999999
      7.50000     0.359005   6.1248416e-11   9.6919115e-09     0.058702541    0.0063195393    0.0017721507      0.28999999
      7.75000     0.370972   5.9837149e-11   9.5696884e-09     0.057631727    0.0062527792    0.0017566805      0.28999999
      8.00000     0.382939   6.4080520e-11   1.0361492e-08     0.056454547    0.0061844878    0.0017378356      0.28999999
      8.25000     0.394906   6.7426301e-11   1.1069199e-08     0.056570711    0.0060913441    0.0017768015      0.28999999
      8.50000     0.406873   5.6530141e-11   9.4380464e-09     0.057004662    0.0059896019    0.0018309338      0.28999999
      8.75000     0.418839   3.9073473e-11   6.6302505e-09     0.056375021    0.0058932122    0.0018367525      0.28999999
      9.00000     0.430806   1.0650215e-11   1.8370280e-09     0.055142248    0.0057975244    0.0018154175      0.28999999
