r(lam/D)  r(arcsec)  I    contrast   core_thruput   PSF_peak   area(sq_arcsec)  occ_trans
      2.40000     0.167101       0.0000000       0.0000000    0.0098014517   0.00040772646    0.0044598567     0.069375211
      2.60000     0.181026   1.0291438e-11   1.5217134e-08     0.013935010   0.00067630594    0.0045854240     0.098632761
      2.80000     0.194951   9.4047524e-12   9.7735084e-09     0.018033636   0.00096226985    0.0045972420      0.12764306
      3.00000     0.208876   8.1802875e-12   6.7244192e-09     0.022090510    0.0012165047    0.0046681510      0.15635784
      3.20000     0.222801   6.4546349e-12   4.6019513e-09     0.025769807    0.0014025865    0.0047942108      0.18240010
      3.40000     0.236726   8.1533722e-12   5.3622430e-09     0.029071526    0.0015205152    0.0049754214      0.20576985
      3.60000     0.250651   5.9498488e-12   3.7277317e-09     0.031090872    0.0015961043    0.0050345120      0.22006289
      3.80000     0.264576   6.0159544e-12   3.6213060e-09     0.032857351    0.0016612665    0.0050905722      0.23256613
      4.00000     0.278501   5.5285645e-12   3.2217706e-09     0.034370968    0.0017160019    0.0051436023      0.24327959
      4.20000     0.292426   4.4995003e-12   2.5560833e-09     0.035631720    0.0017603105    0.0051936021      0.25220327
      4.40000     0.306351   3.3596182e-12   1.8724964e-09     0.036639606    0.0017941921    0.0052405715      0.25933713
      4.60000     0.320276   3.2585122e-12   1.7927092e-09     0.037394627    0.0018176468    0.0052845106      0.26468121
      4.80000     0.334201   4.1514254e-12   2.2677023e-09     0.037896784    0.0018306748    0.0053254195      0.26823551
      5.00000     0.348126   5.0264865e-12   2.7418060e-09     0.038146076    0.0018332758    0.0053632980      0.27000001
      5.20000     0.362051   7.1331218e-12   3.9075964e-09     0.038142503    0.0018254500    0.0053981463      0.26997472
      5.40000     0.375976   6.2279577e-12   3.4461969e-09     0.037886065    0.0018071973    0.0054299642      0.26815964
      5.60000     0.389901   6.5617177e-12   3.6894305e-09     0.037376763    0.0017785178    0.0054587519      0.26455477
      5.80000     0.403826   6.1842233e-12   3.5553542e-09     0.036614594    0.0017394113    0.0054845093      0.25916010
      6.00000     0.417751   6.5210504e-12   3.8588879e-09     0.035599563    0.0016898781    0.0055072363      0.25197565
      6.20000     0.431677   6.9992424e-12   4.1493141e-09     0.035502841    0.0016868432    0.0055010050      0.25129105
      6.40000     0.445602   5.7262963e-12   3.4041751e-09     0.035333435    0.0016821392    0.0054877544      0.25009199
      6.60000     0.459527   5.6149435e-12   3.3506728e-09     0.035091346    0.0016757660    0.0054674846      0.24837846
      6.80000     0.473452   5.3817016e-12   3.2269745e-09     0.034776571    0.0016677236    0.0054401954      0.24615048
      7.00000     0.487377   5.9101226e-12   3.5645835e-09     0.034389114    0.0016580121    0.0054058872      0.24340803
      7.20000     0.501302   6.6080529e-12   4.0130734e-09     0.033928971    0.0016466315    0.0053645595      0.24015112
      7.40000     0.515227   6.9844275e-12   4.2755299e-09     0.033396146    0.0016335817    0.0053162128      0.23637975
      7.60000     0.529152   6.5774396e-12   4.0630000e-09     0.032790637    0.0016188628    0.0052608468      0.23209392
      7.80000     0.543077   6.9841210e-12   4.3583345e-09     0.032112442    0.0016024748    0.0051984614      0.22729362
      8.00000     0.557002   6.4283132e-12   4.0572089e-09     0.031361565    0.0015844176    0.0051290570      0.22197887
      8.20000     0.570927   6.2693258e-12   4.2616809e-09     0.028432188    0.0014710923    0.0050067396      0.20124458
      8.40000     0.584852   7.5533752e-12   5.6407244e-09     0.025047234    0.0013390789    0.0048690581      0.17728569
      8.60000     0.598777   1.0827542e-11   9.7379063e-09     0.020952740    0.0011118963    0.0047479228      0.14830464
      8.80000     0.612702   1.4059037e-11   1.7249546e-08     0.016233356   0.00081503807    0.0046326965      0.11490058
      9.00000     0.626627   1.7019214e-11   3.2394974e-08     0.011962503   0.00052536586    0.0046090605     0.084671251
      9.20000     0.640552       0.0000000       0.0000000    0.0081166676   0.00028700862    0.0045617879     0.057450218
